# Simulation 2 (Up to date),,,,,,,,,,,,,,vlookup value due max AoA,0,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 456 data points written for 54 variables.,,,,,,,,,,,,,,powered flight max,8.753,0.000178,19.121,3.218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Tiempo (s),Altitud (m),Velocidad vertical (m/s),Aceleración vertical (m/s²),Velocidad total (m/s),Aceleración total (m/s²),Posición al este del lanzamiento (m),Posición al norte del lanzamiento (m),Distancia lateral (m),Dirección lateral (°),Velocidad horizontal (m/s),Aceleración horizontal (m/s²),Latitud (°),Longitud (°),Aceleración gravitacional (m/s²),Ángulo de ataque (°),Tasa de rotación (°/s),Tasa de cabeceo (°/s),Tasa de guiñada (°/s),Masa (g),Masa del propulsor (g),Momento de inercia longitudinal (kg·m²),Momento de inercia rotacional (kg·m²),Situación del CP (cm),Situación del CG (cm),Margen de estabilidad en Calibres (​),Número Mach (​),Número de Reynolds (​),Empuje (N),Fuerza de rozamiento (N),Coeficiente de rozamiento (​),Coeficiente de rozamiento axial (​),Coeficiente de rozamiento por fricción (​),Presión del Coeficiente de rozamiento (​),Coeficiente de rozamiento base (​),Coeficiente de rozamiento normal (​),Coeficiente del momento del cabeceo (​),Coeficiente del momento de guiñada (​),Coeficiente de la fuerza lateral (​),Coeficiente del momento de rotación (​),Coeficiente de la fuerza de rotación (​),Coeficiente de amortiguación de la rotación (​),Coeficiente de amortiguación del cabeceo (​),Aceleración Coriolis (m/s²),Longitud de referencia  (cm),Área de referencia (cm²),Orientación vertical (zenit) (°),Orientación lateral (azimut) (°),Velocidad del viento (m/s),Temperatura del aire (°C),Presión del aire (mbar),Velocidad del sonido (m/s),Intervalos de tiempo en la Simulación (s),Cálculo del tiempo (s)
# Event IGNITION occurred at t=0 seconds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Event LAUNCH occurred at t=0 seconds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.55,1034.562,-9.883,-8.218,11.09,8.247,96.791,0.04,96.791,0.024,5.031,0.696,20,-103.599,9.779,74.825,-6.48E-06,-27.534,0.002,3125.288,245.056,0.148,0.003,67.384,60.905,0.81,0.039,7.83E+05,0,0.007,0.465,0.018,0.286,0.059,0.12,13.521,-10.803,-4.13E-04,0,0,0,0,-0.439,0.002,8,50.265,23.985,0.025,3.018,-0.5,757.937,330.996,0.032,0.091
15.58,1034.26,-10.13,-8.143,11.301,8.179,96.943,0.04,96.943,0.024,5.009,0.759,20,-103.599,9.779,76.622,-5.07E-06,-31.641,0.002,3125.288,245.056,0.148,0.003,67.37,60.905,0.808,0.039,7.92E+05,0,0.005,0.465,0.013,0.285,0.059,0.12,13.923,-11.112,-1.72E-04,0,0,0,0,-0.566,0.002,8,50.265,24.877,0.025,2.979,-0.498,757.966,330.997,0.03,0.091
15.609,1033.967,-10.363,-8.067,11.5,8.11,97.086,0.04,97.086,0.024,4.987,0.829,20,-103.599,9.779,78.334,-6.55E-06,-35.737,0.002,3125.288,245.056,0.148,0.003,67.353,60.905,0.806,0.039,8.02E+05,0,0.004,0.464,0.009,0.284,0.059,0.12,14.32,-11.391,-3.01E-04,0,0,0,0,-0.704,0.002,8,50.265,25.842,0.025,2.967,-0.496,757.994,330.998,0.029,0.091
15.636,1033.681,-10.581,-7.983,11.687,8.034,97.222,0.04,97.222,0.024,4.963,0.91,20,-103.599,9.779,79.862,-6.10E-06,-39.846,0.002,3125.288,245.056,0.148,0.003,67.303,60.905,0.8,0.04,8.14E+05,0,0.002,0.463,0.006,0.284,0.059,0.12,14.735,-11.659,4.26E-04,0,0,0,0,-0.851,0.002,8,50.265,26.872,0.025,3.014,-0.494,758.021,331,0.027,0.091
15.662,1033.405,-10.787,-7.923,11.863,7.984,97.35,0.041,97.35,0.024,4.938,0.984,20,-103.599,9.779,81.668,-3.56E-06,-43.941,0.002,3125.288,245.056,0.148,0.003,67.348,60.905,0.805,0.04,8.22E+05,0,0.001,0.462,0.003,0.283,0.059,0.12,15.068,-11.842,-9.46E-05,0,0,0,0,-1.014,0.002,8,50.265,27.955,0.024,2.982,-0.492,758.048,331.001,0.026,0.092
15.687,1033.133,-10.984,-7.893,12.033,7.962,97.473,0.041,97.473,0.024,4.913,1.049,20,-103.599,9.779,83.809,-4.50E-06,-47.972,0.002,3125.288,245.056,0.148,0.003,67.498,60.905,0.824,0.041,8.26E+05,0,6.05E-04,0.462,0.001,0.283,0.059,0.12,15.308,-11.922,-1.24E-05,0,0,0,0,-1.195,0.002,8,50.265,29.103,0.024,2.863,-0.49,758.074,331.002,0.025,0.092
15.711,1032.861,-11.178,-7.846,12.199,7.927,97.593,0.041,97.593,0.024,4.886,1.13,20,-103.599,9.779,85.718,-6.37E-06,-52.001,0.002,3125.288,245.056,0.148,0.003,67.59,60.905,0.836,0.041,8.34E+05,0,2.08E-04,0.462,4.63E-04,0.282,0.059,0.12,15.59,-12.016,3.80E-04,0,0,0,0,-1.379,0.002,8,50.265,30.329,0.024,2.828,-0.489,758.1,331.003,0.025,0.092
15.735,1032.592,-11.364,-7.781,12.359,7.878,97.709,0.041,97.709,0.024,4.858,1.229,20,-103.599,9.779,87.339,-3.83E-06,-56.082,0.002,3125.288,245.056,0.148,0.003,67.611,60.905,0.838,0.042,8.45E+05,0,5.20E-05,0.461,1.13E-04,0.281,0.059,0.12,15.927,-12.14,4.72E-04,0,0,0,0,-1.564,0.002,8,50.265,31.62,0.024,2.889,-0.487,758.126,331.004,0.024,0.092
15.758,1032.328,-11.543,-7.736,12.512,7.848,97.821,0.041,97.821,0.024,4.829,1.324,20,-103.599,9.779,89.132,-7.24E-06,-60.145,0.002,3125.288,245.056,0.148,0.003,67.696,60.905,0.849,0.042,8.53E+05,0,1.87E-06,0.46,3.99E-06,0.281,0.059,0.12,16.197,-12.185,-3.52E-04,0,0,0,0,-1.762,0.002,8,50.265,32.96,0.024,2.907,-0.485,758.152,331.005,0.023,0.092
15.781,1032.066,-11.717,-7.719,12.661,7.846,97.929,0.041,97.929,0.024,4.798,1.408,20,-103.599,9.779,91.213,-5.04E-06,-64.159,0.002,3125.288,245.056,0.148,0.003,67.878,60.905,0.872,0.042,8.59E+05,0,-5.16E-06,0.46,-1.08E-05,0.28,0.059,0.12,16.366,-12.115,-7.72E-05,0,0,0,0,-1.977,0.002,8,50.265,34.359,0.024,2.854,-0.483,758.177,331.006,0.023,0.092
15.803,1031.802,-11.889,-7.704,12.809,7.848,98.036,0.041,98.036,0.024,4.765,1.497,20,-103.599,9.779,93.288,-3.52E-06,-68.168,0.002,3125.288,245.056,0.148,0.003,68.067,60.905,0.895,0.043,8.66E+05,0,-1.02E-04,0.46,-2.11E-04,0.28,0.059,0.12,16.521,-12.011,-6.52E-05,0,0,0,0,-2.197,0.002,8,50.265,35.836,0.023,2.823,-0.482,758.202,331.007,0.022,0.093
15.825,1031.537,-12.06,-7.66,12.954,7.829,98.141,0.041,98.141,0.024,4.731,1.619,20,-103.599,9.779,94.975,-5.15E-06,-72.222,0.002,3125.288,245.056,0.148,0.003,68.143,60.905,0.905,0.043,8.77E+05,0,-3.56E-04,0.459,-7.17E-04,0.28,0.059,0.12,16.783,-12.004,-3.53E-04,0,0,0,0,-2.404,0.002,8,50.265,37.392,0.023,2.927,-0.48,758.228,331.008,0.022,0.093
15.847,1031.274,-12.225,-7.626,13.095,7.823,98.243,0.041,98.243,0.024,4.695,1.742,20,-103.599,9.779,96.712,-4.79E-06,-76.263,0.003,3125.288,245.056,0.148,0.003,68.246,60.905,0.918,0.044,8.88E+05,0,-8.80E-04,0.459,-0.002,0.28,0.059,0.12,17.008,-11.95,2.98E-04,0,0,0,0,-2.616,0.002,8,50.265,38.997,0.023,3.029,-0.478,758.253,331.009,0.022,0.093
15.868,1031.014,-12.386,-7.637,13.233,7.855,98.342,0.042,98.342,0.024,4.657,1.838,20,-103.599,9.779,98.86,-5.44E-06,-80.262,0.003,3125.288,245.056,0.148,0.003,68.497,60.905,0.949,0.044,8.95E+05,0,-0.002,0.459,-0.004,0.28,0.059,0.12,17.066,-11.703,4.28E-04,0,0,0,0,-2.853,0.002,8,50.265,40.655,0.023,3.022,-0.477,758.278,331.01,0.021,0.093
15.889,1030.748,-12.549,-7.666,13.372,7.904,98.441,0.042,98.441,0.024,4.617,1.928,20,-103.599,9.779,101.168,-5.09E-06,-84.233,0.003,3125.288,245.056,0.148,0.003,68.811,60.905,0.988,0.044,9.01E+05,0,-0.004,0.459,-0.008,0.28,0.059,0.12,17.053,-11.365,5.03E-05,0,0,0,0,-3.098,0.002,8,50.265,42.408,0.022,2.995,-0.475,758.304,331.011,0.021,0.093
15.911,1030.475,-12.716,-7.71,13.513,7.969,98.541,0.042,98.541,0.024,4.574,2.013,20,-103.599,9.779,103.628,-2.11E-06,-88.19,0.002,3125.288,245.056,0.148,0.003,69.185,60.905,1.035,0.045,9.08E+05,0,-0.007,0.459,-0.013,0.28,0.059,0.12,16.969,-10.934,2.75E-04,0,0,0,0,-3.349,0.002,8,50.265,44.272,0.022,2.959,-0.473,758.33,331.012,0.022,0.093
15.933,1030.191,-12.887,-7.773,13.66,8.049,98.641,0.042,98.642,0.024,4.528,2.091,20,-103.599,9.779,106.269,-8.08E-06,-92.12,0.003,3125.288,245.056,0.148,0.003,69.633,60.905,1.091,0.045,9.14E+05,0,-0.012,0.459,-0.022,0.28,0.059,0.12,16.805,-10.399,-3.99E-05,0,0,0,0,-3.605,0.002,8,50.265,46.271,0.022,2.913,-0.471,758.357,331.013,0.022,0.093
15.956,1029.893,-13.067,-7.848,13.813,8.142,98.745,0.042,98.745,0.024,4.479,2.168,20,-103.599,9.779,109.05,-1.76E-06,-96.027,0.002,3125.288,245.056,0.148,0.003,70.141,60.905,1.154,0.045,9.21E+05,0,-0.019,0.459,-0.034,0.28,0.059,0.12,16.58,-9.781,2.05E-04,0,0,0,0,-3.857,0.002,8,50.265,48.435,0.021,2.879,-0.469,758.386,331.015,0.023,0.094
15.98,1029.576,-13.257,-7.931,13.976,8.244,98.852,0.042,98.852,0.024,4.426,2.25,20,-103.599,9.779,111.915,-9.08E-06,-99.932,0.003,3125.288,245.056,0.148,0.003,70.689,60.905,1.223,0.046,9.30E+05,0,-0.028,0.459,-0.05,0.28,0.059,0.12,16.316,-9.108,-2.58E-04,0,0,0,0,-4.098,0.002,8,50.265,50.794,0.021,2.885,-0.467,758.417,331.016,0.024,0.094
16.006,1029.237,-13.459,-8.041,14.15,8.367,98.964,0.042,98.964,0.024,4.368,2.316,20,-103.599,9.779,115.089,-1.49E-05,-103.797,0.003,3125.288,245.056,0.148,0.003,71.375,60.905,1.309,0.046,9.39E+05,0,-0.041,0.459,-0.072,0.28,0.059,0.12,15.918,-8.269,-4.34E-04,0,0,0,0,-4.338,0.002,8,50.265,53.378,0.02,2.875,-0.465,758.449,331.017,0.025,0.094
16.033,1028.865,-13.682,-8.193,14.343,8.521,99.083,0.042,99.083,0.024,4.304,2.34,20,-103.599,9.779,118.84,-8.94E-06,-107.556,0.003,3125.288,245.056,0.148,0.003,72.321,60.905,1.427,0.047,9.47E+05,0,-0.06,0.459,-0.104,0.28,0.059,0.12,15.279,-7.131,3.34E-04,0,0,0,0,-4.579,0.002,8,50.265,56.275,0.019,2.798,-0.463,758.485,331.019,0.027,0.094
16.061,1028.48,-13.912,-8.363,14.544,8.682,99.202,0.042,99.202,0.024,4.239,2.334,20,-103.599,9.779,122.782,-6.09E-06,-110.843,0.002,3125.288,245.056,0.148,0.003,73.434,60.905,1.566,0.047,9.55E+05,0,-0.084,0.459,-0.143,0.28,0.059,0.12,14.496,-5.848,3.89E-04,0,0,0,0,-4.779,0.002,8,50.265,59.322,0.018,2.709,-0.46,758.522,331.02,0.028,0.094
16.088,1028.101,-14.141,-8.537,14.745,8.839,99.316,0.042,99.316,0.024,4.176,2.293,20,-103.599,9.779,126.724,-9.73E-07,-113.422,0.002,3125.288,245.056,0.148,0.003,74.677,60.905,1.721,0.047,9.64E+05,0,-0.113,0.459,-0.189,0.28,0.059,0.12,13.612,-4.489,4.49E-04,0,0,0,0,-4.919,0.002,8,50.265,62.359,0.017,2.609,-0.458,758.559,331.022,0.027,0.095
16.114,1027.723,-14.369,-8.696,14.947,8.983,99.425,0.043,99.425,0.025,4.116,2.252,20,-103.599,9.779,130.393,-5.27E-06,-115.312,0.002,3125.288,245.056,0.148,0.003,75.909,60.905,1.876,0.048,9.74E+05,0,-0.145,0.459,-0.237,0.28,0.059,0.12,12.766,-3.238,2.80E-04,0,0,0,0,-4.976,0.002,8,50.265,65.385,0.016,2.581,-0.455,758.595,331.023,0.026,0.095
16.14,1027.347,-14.597,-8.844,15.151,9.115,99.532,0.043,99.532,0.025,4.058,2.207,20,-103.599,9.779,133.845,-9.81E-06,-116.649,0.003,3125.288,245.056,0.148,0.003,77.145,60.905,2.03,0.048,9.86E+05,0,-0.178,0.459,-0.284,0.28,0.059,0.12,11.946,-2.07,-6.91E-05,0,0,0,0,-4.969,0.002,8,50.265,68.404,0.014,2.612,-0.453,758.631,331.025,0.026,0.095
# Event EJECTION_CHARGE occurred at t=16.16 seconds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Event STAGE_SEPARATION occurred at t=16.16 seconds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.16,1027.059,-14.772,-8.964,15.308,9.213,99.611,0.043,99.611,0.025,4.016,2.126,20,-103.599,9.779,136.716,-2.86E-06,-117.269,0.003,3125.288,245.056,0.148,0.003,78.303,60.905,2.175,0.049,9.93E+05,0,-0.207,0.459,-0.325,0.28,0.059,0.12,11.181,-1.016,3.40E-04,0,0,0,0,-4.949,0.002,8,50.265,70.699,0.013,2.556,-0.451,758.659,331.026,0.02,0.095
# Event TUMBLE occurred at t=16.164 seconds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.164,1026.995,-14.811,-9.136,15.344,9.293,99.628,0.043,99.628,0.025,4.008,1.701,20,-103.599,9.779,137.399,-5.18E-06,-121.189,0.003,2246.29,0,0.038,0.002,31.508,49.747,-2.28,0.049,6.42E+05,0,-0.135,0.29,-0.212,0.166,0.004,0.12,6.403,-11.604,3.75E-04,0,0,0,0,-2.994,0.002,8,50.265,71.209,0.012,2.527,-0.45,758.665,331.026,0.004,0.099
16.165,1026.98,-14.819,-8.255,16.196,8.282,99.632,0.043,99.632,0.025,4.008,0.671,20,-103.599,9.779,NaN,NaN,NaN,NaN,2246.29,0,NaN,NaN,NaN,NaN,NaN,0.049,6.42E+05,0,3.744,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,NaN,NaN,NaN,NaN,2.527,-0.45,758.665,331.026,0.001,0.099
16.665,1018.539,-18.946,-8.254,19.932,8.281,101.552,0.045,101.552,0.025,3.673,0.67,20,-103.599,9.779,NaN,NaN,NaN,NaN,2246.29,0,NaN,NaN,NaN,NaN,NaN,0.049,7.91E+05,0,3.746,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,NaN,NaN,NaN,NaN,2.52,-0.45,758.666,331.026,0.5,0.099
17.165,1008.146,-22.628,-7.364,23.434,7.41,103.285,0.047,103.285,0.026,3.259,0.827,20,-103.599,9.779,NaN,NaN,NaN,NaN,2246.29,0,NaN,NaN,NaN,NaN,NaN,0.061,9.30E+05,0,5.737,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,NaN,NaN,NaN,NaN,2.835,-0.396,759.479,331.059,0.5,0.099
17.665,996.031,-25.831,-6.407,26.41,6.467,104.804,0.049,104.804,0.027,2.818,0.882,20,-103.599,9.779,NaN,NaN,NaN,NaN,2246.29,0,NaN,NaN,NaN,NaN,NaN,0.071,1.05E+06,0,7.833,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,NaN,NaN,NaN,NaN,2.681,-0.328,760.479,331.1,0.5,0.099
18.165,982.437,-28.545,-5.427,28.987,5.505,106.098,0.05,106.098,0.027,2.356,0.924,20,-103.599,9.779,NaN,NaN,NaN,NaN,2246.29,0,NaN,NaN,NaN,NaN,NaN,0.08,1.15E+06,0,9.996,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.004,NaN,NaN,NaN,NaN,2.686,-0.249,761.645,331.148,0.5,0.099
18.665,967.602,-30.792,-4.495,31.126,4.589,107.16,0.052,107.16,0.028,1.894,0.924,20,-103.599,9.779,NaN,NaN,NaN,NaN,2246.29,0,NaN,NaN,NaN,NaN,NaN,0.088,1.24E+06,0,12.053,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.004,NaN,NaN,NaN,NaN,2.654,-0.161,762.954,331.201,0.5,0.099
19.165,951.751,-32.612,-3.64,32.898,3.763,107.988,0.053,107.988,0.028,1.417,0.954,20,-103.599,9.779,NaN,NaN,NaN,NaN,2246.29,0,NaN,NaN,NaN,NaN,NaN,0.094,1.31E+06,0,13.959,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.004,NaN,NaN,NaN,NaN,2.91,-0.064,764.382,331.26,0.5,0.099
19.665,935.082,-34.065,-2.906,34.277,3.04,108.585,0.055,108.585,0.029,0.972,0.891,20,-103.599,9.779,NaN,NaN,NaN,NaN,2246.29,0,NaN,NaN,NaN,NaN,NaN,0.099,1.37E+06,0,15.57,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.004,NaN,NaN,NaN,NaN,2.831,0.039,765.907,331.322,0.5,0.099
20.165,917.763,-35.211,-2.292,35.346,2.413,108.977,0.056,108.977,0.029,0.594,0.755,20,-103.599,9.779,NaN,NaN,NaN,NaN,2246.29,0,NaN,NaN,NaN,NaN,NaN,0.103,1.41E+06,0,16.905,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.005,NaN,NaN,NaN,NaN,2.486,0.147,767.512,331.388,0.5,0.099
20.665,899.936,-36.095,-1.768,36.226,1.934,109.176,0.057,109.176,0.03,0.202,0.784,20,-103.599,9.779,NaN,NaN,NaN,NaN,2246.29,0,NaN,NaN,NaN,NaN,NaN,0.107,1.45E+06,0,18.083,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.005,NaN,NaN,NaN,NaN,2.872,0.26,769.179,331.456,0.5,0.099
21.165,881.719,-36.774,-1.358,36.868,1.523,109.191,0.058,109.191,0.03,0.143,0.69,20,-103.599,9.779,NaN,NaN,NaN,NaN,2246.29,0,NaN,NaN,NaN,NaN,NaN,0.109,1.48E+06,0,18.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.005,NaN,NaN,NaN,NaN,2.777,0.375,770.895,331.526,0.5,0.099
21.665,863.203,-37.29,-1.031,37.356,1.191,109.045,0.059,109.045,0.031,0.441,0.597,20,-103.599,9.78,NaN,NaN,NaN,NaN,2246.29,0,NaN,NaN,NaN,NaN,NaN,0.111,1.50E+06,0,19.698,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.005,NaN,NaN,NaN,NaN,2.672,0.494,772.648,331.598,0.5,0.099
22.165,844.461,-37.677,-0.775,37.718,0.911,108.764,0.06,108.764,0.031,0.68,0.479,20,-103.599,9.78,NaN,NaN,NaN,NaN,2246.29,0,NaN,NaN,NaN,NaN,NaN,0.113,1.52E+06,0,20.255,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.005,NaN,NaN,NaN,NaN,2.445,0.614,774.431,331.671,0.5,0.099
22.665,825.551,-37.963,-0.572,37.998,0.727,108.368,0.06,108.368,0.032,0.905,0.448,20,-103.599,9.78,NaN,NaN,NaN,NaN,2246.29,0,NaN,NaN,NaN,NaN,NaN,0.114,1.53E+06,0,20.708,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.005,NaN,NaN,NaN,NaN,2.536,0.736,776.234,331.745,0.5,0.099
23.165,806.517,-38.174,-0.421,38.186,0.498,107.883,0.061,107.883,0.032,1.037,0.265,20,-103.599,9.78,NaN,NaN,NaN,NaN,2246.29,0,NaN,NaN,NaN,NaN,NaN,0.114,1.54E+06,0,21.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.005,NaN,NaN,NaN,NaN,2.002,0.859,778.055,331.819,0.5,0.1
23.665,787.392,-38.324,-0.301,38.333,0.373,107.336,0.061,107.336,0.033,1.148,0.221,20,-103.599,9.78,NaN,NaN,NaN,NaN,2246.29,0,NaN,NaN,NaN,NaN,NaN,0.115,1.55E+06,0,21.299,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.005,NaN,NaN,NaN,NaN,1.95,0.983,779.887,331.894,0.5,0.1
24.165,768.204,-38.428,-0.207,38.437,0.317,106.732,0.062,106.732,0.033,1.268,0.24,20,-103.599,9.78,NaN,NaN,NaN,NaN,2246.29,0,NaN,NaN,NaN,NaN,NaN,0.115,1.56E+06,0,21.51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.005,NaN,NaN,NaN,NaN,2.13,1.107,781.728,331.97,0.5,0.1
24.665,748.974,-38.496,-0.136,38.51,0.321,106.062,0.062,106.062,0.033,1.413,0.291,20,-103.599,9.78,NaN,NaN,NaN,NaN,2246.29,0,NaN,NaN,NaN,NaN,NaN,0.116,1.56E+06,0,21.673,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.005,NaN,NaN,NaN,NaN,2.447,1.232,783.575,332.045,0.5,0.1
25.165,729.715,-38.538,-0.085,38.547,0.24,105.327,0.062,105.327,0.034,1.526,0.225,20,-103.599,9.78,NaN,NaN,NaN,NaN,2246.29,0,NaN,NaN,NaN,NaN,NaN,0.116,1.56E+06,0,21.783,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.005,NaN,NaN,NaN,NaN,2.327,1.357,785.426,332.121,0.5,0.1
25.665,710.44,-38.561,-0.045,38.569,0.224,104.537,0.063,104.537,0.034,1.636,0.22,20,-103.599,9.78,NaN,NaN,NaN,NaN,2246.29,0,NaN,NaN,NaN,NaN,NaN,0.116,1.57E+06,0,21.872,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.005,NaN,NaN,NaN,NaN,2.417,1.482,787.279,332.197,0.5,0.1
26.165,691.158,-38.569,-0.016,38.575,0.187,103.695,0.063,103.695,0.035,1.729,0.187,20,-103.599,9.78,NaN,NaN,NaN,NaN,2246.29,0,NaN,NaN,NaN,NaN,NaN,0.116,1.57E+06,0,21.936,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.005,NaN,NaN,NaN,NaN,2.394,1.607,789.135,332.273,0.5,0.1
26.665,671.874,-38.566,0.005,38.568,0.116,102.816,0.063,102.816,0.035,1.787,0.116,20,-103.599,9.78,NaN,NaN,NaN,NaN,2246.29,0,NaN,NaN,NaN,NaN,NaN,0.116,1.57E+06,0,21.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.005,NaN,NaN,NaN,NaN,2.206,1.732,790.991,332.349,0.5,0.1
27.165,652.594,-38.554,0.025,38.564,0.253,101.891,0.063,101.891,0.035,1.913,0.252,20,-103.599,9.78,NaN,NaN,NaN,NaN,2246.29,0,NaN,NaN,NaN,NaN,NaN,0.116,1.58E+06,0,22.032,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.005,NaN,NaN,NaN,NaN,2.798,1.858,792.847,332.425,0.5,0.1
27.665,633.322,-38.536,0.036,38.542,0.201,100.91,0.063,100.91,0.036,2.011,0.197,20,-103.599,9.78,NaN,NaN,NaN,NaN,2246.29,0,NaN,NaN,NaN,NaN,NaN,0.116,1.58E+06,0,22.054,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.005,NaN,NaN,NaN,NaN,2.708,1.983,794.702,332.501,0.5,0.1
28.165,614.06,-38.512,0.047,38.521,0.237,99.876,0.063,99.876,0.036,2.128,0.232,20,-103.599,9.78,NaN,NaN,NaN,NaN,2246.29,0,NaN,NaN,NaN,NaN,NaN,0.116,1.58E+06,0,22.08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.005,NaN,NaN,NaN,NaN,2.943,2.108,796.64,332.577,0.5,0.1
28.665,594.81,-38.486,0.052,38.488,0.11,98.8,0.063,98.8,0.037,2.176,0.097,20,-103.599,9.78,NaN,NaN,NaN,NaN,2246.29,0,NaN,NaN,NaN,NaN,NaN,0.116,1.58E+06,0,22.087,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.005,NaN,NaN,NaN,NaN,2.527,2.234,798.59,332.652,0.5,0.1
29.165,575.574,-38.457,0.059,38.461,0.18,97.69,0.063,97.69,0.037,2.261,0.17,20,-103.599,9.78,NaN,NaN,NaN,NaN,2246.29,0,NaN,NaN,NaN,NaN,NaN,0.116,1.58E+06,0,22.106,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.005,NaN,NaN,NaN,NaN,2.863,2.359,800.538,332.728,0.5,0.1
29.665,556.354,-38.426,0.062,38.426,0.083,96.553,0.063,96.553,0.037,2.289,0.055,20,-103.599,9.78,NaN,NaN,NaN,NaN,2246.29,0,NaN,NaN,NaN,NaN,NaN,0.116,1.58E+06,0,22.109,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.005,NaN,NaN,NaN,NaN,2.498,2.484,802.485,332.804,0.5,0.101
30.165,537.149,-38.393,0.065,38.393,0.074,95.413,0.063,95.413,0.038,2.271,0.035,20,-103.599,9.781,NaN,NaN,NaN,NaN,2246.29,0,NaN,NaN,NaN,NaN,NaN,0.115,1.58E+06,0,22.116,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.005,NaN,NaN,NaN,NaN,2.173,2.609,804.431,332.88,0.5,0.101
30.665,517.961,-38.359,0.068,38.361,0.137,94.292,0.063,94.292,0.038,2.212,0.118,20,-103.599,9.781,NaN,NaN,NaN,NaN,2246.29,0,NaN,NaN,NaN,NaN,NaN,0.115,1.58E+06,0,22.125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.005,NaN,NaN,NaN,NaN,1.83,2.734,806.374,332.955,0.5,0.101
